NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_DATE;REF_YEAR;EDU_ALL;EDU_LEH;EDU_BMS;EDU_AHS;EDU_BHS;EDU_KOL;EDU_ACA;EDU_UNI;EDU_AKA
AT1;AT13;AT130;90000;90000;20081031;2008;0,2205;0,2658;0,1184;0,0996;0,083;0,0102;0,0242;0,1784;0,2026
AT1;AT13;AT130;90100;90100;20081031;2008;0,1168;0,1302;0,0888;0,161;0,0745;0,0133;0,0246;0,3908;0,4153
AT1;AT13;AT130;90200;90200;20081031;2008;0,2489;0,2456;0,0979;0,1041;0,0774;0,0091;0,025;0,1921;0,2171
AT1;AT13;AT130;90300;90300;20081031;2008;0,1995;0,2073;0,1015;0,1217;0,0841;0,0123;0,0275;0,2461;0,2736
AT1;AT13;AT130;90400;90400;20081031;2008;0,1416;0,1523;0,0883;0,1462;0,087;0,0127;0,0297;0,3422;0,3719
AT1;AT13;AT130;90500;90500;20081031;2008;0,2495;0,2192;0,0931;0,1119;0,082;0,0115;0,0234;0,2093;0,2327
AT1;AT13;AT130;90600;90600;20081031;2008;0,1512;0,1711;0,0936;0,1418;0,0942;0,0149;0,0272;0,306;0,3333
AT1;AT13;AT130;90700;90700;20081031;2008;0,1439;0,1506;0,0889;0,1464;0,0897;0,0146;0,0296;0,3363;0,3659
AT1;AT13;AT130;90800;90800;20081031;2008;0,1187;0,1323;0,0823;0,1528;0,0879;0,0135;0,0321;0,3804;0,4125
AT1;AT13;AT130;90900;90900;20081031;2008;0,146;0,1543;0,0863;0,1461;0,0872;0,0125;0,0314;0,3363;0,3677
AT1;AT13;AT130;91000;91000;20081031;2008;0,2928;0,3259;0,1233;0,0711;0,0742;0,0076;0,0164;0,0887;0,1051
AT1;AT13;AT130;91100;91100;20081031;2008;0,2632;0,3566;0,1346;0,0684;0,077;0,0075;0,0158;0,0771;0,0929
AT1;AT13;AT130;91200;91200;20081031;2008;0,2705;0,2784;0,1192;0,0868;0,08;0,0082;0,0206;0,1362;0,1568
AT1;AT13;AT130;91300;91300;20081031;2008;0,1129;0,1812;0,125;0,1295;0,0922;0,0148;0,0365;0,308;0,3444
AT1;AT13;AT130;91400;91400;20081031;2008;0,1965;0,2586;0,1328;0,1016;0,0898;0,0115;0,0288;0,1805;0,2093
AT1;AT13;AT130;91500;91500;20081031;2008;0,306;0,2552;0,102;0,0913;0,0725;0,0081;0,0213;0,1436;0,1649
AT1;AT13;AT130;91600;91600;20081031;2008;0,2817;0,2622;0,1103;0,0917;0,0755;0,0087;0,0239;0,1459;0,1699
AT1;AT13;AT130;91700;91700;20081031;2008;0,2407;0,2296;0,1068;0,1056;0,0782;0,0108;0,0276;0,2007;0,2283
AT1;AT13;AT130;91800;91800;20081031;2008;0,1533;0,1665;0,094;0,1306;0,0808;0,0119;0,0328;0,3302;0,3629
AT1;AT13;AT130;91900;91900;20081031;2008;0,1444;0,1985;0,1066;0,1344;0,0839;0,0129;0,0291;0,2903;0,3194
AT1;AT13;AT130;92000;92000;20081031;2008;0,2993;0,279;0,1074;0,0855;0,0724;0,0079;0,0187;0,1298;0,1485
AT1;AT13;AT130;92100;92100;20081031;2008;0,217;0,3542;0,1419;0,0759;0,0831;0,0083;0,0223;0,0973;0,1196
