Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
Population by sex, 5-year age groups and nationality since 2002 - districts of Vienna;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;SEX;AGE5;AUT;EEA;REU;TCN
AT13;90100;90100;2002;20020101;1;1;265;28;18;9
AT13;90100;90100;2002;20020101;1;2;246;12;19;6
AT13;90100;90100;2002;20020101;1;3;232;15;7;10
AT13;90100;90100;2002;20020101;1;4;294;35;21;11
AT13;90100;90100;2002;20020101;1;5;334;51;31;19
AT13;90100;90100;2002;20020101;1;6;430;66;25;24
AT13;90100;90100;2002;20020101;1;7;541;81;29;45
AT13;90100;90100;2002;20020101;1;8;538;105;29;34
AT13;90100;90100;2002;20020101;1;9;521;67;20;32
AT13;90100;90100;2002;20020101;1;10;478;78;43;30
AT13;90100;90100;2002;20020101;1;11;557;68;52;20
AT13;90100;90100;2002;20020101;1;12;659;60;20;22
AT13;90100;90100;2002;20020101;1;13;546;31;16;14
AT13;90100;90100;2002;20020101;1;14;290;24;9;10
AT13;90100;90100;2002;20020101;1;15;319;17;6;12
AT13;90100;90100;2002;20020101;1;16;307;17;3;3
AT13;90100;90100;2002;20020101;1;17;331;16;1;7
AT13;90100;90100;2002;20020101;2;1;221;18;14;15
AT13;90100;90100;2002;20020101;2;2;244;9;11;7
AT13;90100;90100;2002;20020101;2;3;271;10;14;8
AT13;90100;90100;2002;20020101;2;4;286;31;31;14
AT13;90100;90100;2002;20020101;2;5;344;51;37;18
AT13;90100;90100;2002;20020101;2;6;388;91;26;26
AT13;90100;90100;2002;20020101;2;7;500;92;39;31
AT13;90100;90100;2002;20020101;2;8;520;80;28;40
AT13;90100;90100;2002;20020101;2;9;520;54;22;34
AT13;90100;90100;2002;20020101;2;10;551;67;54;34
AT13;90100;90100;2002;20020101;2;11;610;55;35;25
AT13;90100;90100;2002;20020101;2;12;647;57;26;19
AT13;90100;90100;2002;20020101;2;13;606;31;15;6
AT13;90100;90100;2002;20020101;2;14;348;19;14;9
AT13;90100;90100;2002;20020101;2;15;415;15;5;7
AT13;90100;90100;2002;20020101;2;16;603;13;9;11
AT13;90100;90100;2002;20020101;2;17;833;26;0;4
AT13;90200;90200;2002;20020101;1;1;1625;130;361;102
AT13;90200;90200;2002;20020101;1;2;1563;141;462;91
AT13;90200;90200;2002;20020101;1;3;1562;114;433;162
AT13;90200;90200;2002;20020101;1;4;1674;101;396;134
AT13;90200;90200;2002;20020101;1;5;1822;162;495;176
AT13;90200;90200;2002;20020101;1;6;2196;248;565;187
AT13;90200;90200;2002;20020101;1;7;2830;377;574;231
AT13;90200;90200;2002;20020101;1;8;2961;345;658;257
AT13;90200;90200;2002;20020101;1;9;2582;380;525;238
AT13;90200;90200;2002;20020101;1;10;2105;379;590;182
AT13;90200;90200;2002;20020101;1;11;2083;252;493;97
AT13;90200;90200;2002;20020101;1;12;2141;152;305;49
AT13;90200;90200;2002;20020101;1;13;2064;70;242;44
AT13;90200;90200;2002;20020101;1;14;1208;46;149;41
AT13;90200;90200;2002;20020101;1;15;1288;23;89;29
AT13;90200;90200;2002;20020101;1;16;1062;14;40;12
AT13;90200;90200;2002;20020101;1;17;1023;18;5;15
AT13;90200;90200;2002;20020101;2;1;1525;121;371;100
AT13;90200;90200;2002;20020101;2;2;1465;107;438;89
AT13;90200;90200;2002;20020101;2;3;1494;104;354;148
AT13;90200;90200;2002;20020101;2;4;1566;78;364;99
AT13;90200;90200;2002;20020101;2;5;1833;210;445;164
AT13;90200;90200;2002;20020101;2;6;2131;397;553;197
AT13;90200;90200;2002;20020101;2;7;2597;418;550;220
AT13;90200;90200;2002;20020101;2;8;2865;303;442;178
AT13;90200;90200;2002;20020101;2;9;2577;242;417;129
AT13;90200;90200;2002;20020101;2;10;2236;178;477;94
AT13;90200;90200;2002;20020101;2;11;2338;126;388;70
AT13;90200;90200;2002;20020101;2;12;2357;85;245;31
AT13;90200;90200;2002;20020101;2;13;2331;65;188;30
AT13;90200;90200;2002;20020101;2;14;1631;39;121;32
AT13;90200;90200;2002;20020101;2;15;1995;27;93;12
AT13;90200;90200;2002;20020101;2;16;2243;23;37;20
AT13;90200;90200;2002;20020101;2;17;2982;26;15;20
AT13;90300;90300;2002;20020101;1;1;1427;86;253;56
AT13;90300;90300;2002;20020101;1;2;1457;88;284;32
AT13;90300;90300;2002;20020101;1;3;1423;85;236;52
AT13;90300;90300;2002;20020101;1;4;1553;67;232;99
AT13;90300;90300;2002;20020101;1;5;1770;156;356;127
AT13;90300;90300;2002;20020101;1;6;2163;288;383;184
AT13;90300;90300;2002;20020101;1;7;2765;360;476;196
AT13;90300;90300;2002;20020101;1;8;2884;377;395;182
AT13;90300;90300;2002;20020101;1;9;2483;302;365;153
AT13;90300;90300;2002;20020101;1;10;2019;310;382;109
AT13;90300;90300;2002;20020101;1;11;2087;215;380;62
AT13;90300;90300;2002;20020101;1;12;2090;106;189;44
AT13;90300;90300;2002;20020101;1;13;2028;62;161;31
AT13;90300;90300;2002;20020101;1;14;1099;47;106;20
AT13;90300;90300;2002;20020101;1;15;1219;27;50;22
AT13;90300;90300;2002;20020101;1;16;971;27;12;17
AT13;90300;90300;2002;20020101;1;17;1022;12;6;16
AT13;90300;90300;2002;20020101;2;1;1391;108;265;37
AT13;90300;90300;2002;20020101;2;2;1357;79;252;40
AT13;90300;90300;2002;20020101;2;3;1475;79;219;80
AT13;90300;90300;2002;20020101;2;4;1508;84;224;71
AT13;90300;90300;2002;20020101;2;5;1798;213;335;101
AT13;90300;90300;2002;20020101;2;6;2229;360;386;141
AT13;90300;90300;2002;20020101;2;7;2840;404;384;141
AT13;90300;90300;2002;20020101;2;8;2996;335;278;132
AT13;90300;90300;2002;20020101;2;9;2782;199;244;98
AT13;90300;90300;2002;20020101;2;10;2349;179;293;79
AT13;90300;90300;2002;20020101;2;11;2231;128;291;52
AT13;90300;90300;2002;20020101;2;12;2356;95;159;45
AT13;90300;90300;2002;20020101;2;13;2306;50;130;16
AT13;90300;90300;2002;20020101;2;14;1544;41;115;15
AT13;90300;90300;2002;20020101;2;15;1880;24;59;14
AT13;90300;90300;2002;20020101;2;16;2255;16;22;20
AT13;90300;90300;2002;20020101;2;17;2999;28;14;14
AT13;90400;90400;2002;20020101;1;1;450;53;43;22
AT13;90400;90400;2002;20020101;1;2;480;45;66;10
AT13;90400;90400;2002;20020101;1;3;521;27;50;12
AT13;90400;90400;2002;20020101;1;4;514;43;66;17
AT13;90400;90400;2002;20020101;1;5;647;71;57;23
AT13;90400;90400;2002;20020101;1;6;878;128;83;35
AT13;90400;90400;2002;20020101;1;7;1017;166;105;52
AT13;90400;90400;2002;20020101;1;8;1018;133;87;59
AT13;90400;90400;2002;20020101;1;9;935;116;75;45
AT13;90400;90400;2002;20020101;1;10;717;97;84;28
AT13;90400;90400;2002;20020101;1;11;708;72;117;20
AT13;90400;90400;2002;20020101;1;12;753;40;58;10
AT13;90400;90400;2002;20020101;1;13;702;36;41;9
AT13;90400;90400;2002;20020101;1;14;347;14;19;10
AT13;90400;90400;2002;20020101;1;15;420;11;7;7
AT13;90400;90400;2002;20020101;1;16;422;10;6;5
AT13;90400;90400;2002;20020101;1;17;435;12;6;6
AT13;90400;90400;2002;20020101;2;1;454;42;47;12
AT13;90400;90400;2002;20020101;2;2;474;33;45;16
AT13;90400;90400;2002;20020101;2;3;468;33;53;20
AT13;90400;90400;2002;20020101;2;4;542;37;51;13
AT13;90400;90400;2002;20020101;2;5;616;78;64;24
AT13;90400;90400;2002;20020101;2;6;769;142;84;60
AT13;90400;90400;2002;20020101;2;7;1007;153;83;68
AT13;90400;90400;2002;20020101;2;8;1086;141;49;51
AT13;90400;90400;2002;20020101;2;9;1033;86;70;52
AT13;90400;90400;2002;20020101;2;10;872;63;86;24
