FID,OBJECTID,SHAPE,NAME,BEZEICHNUNG,INFO,SE_ANNO_CAD_DATA
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37d9,117637,"LINESTRING (16.404316102763424 48.171605033473114, 16.398417827308165 48.17759838619838, 16.394561540692628 48.182995011419045, 16.39214678639824 48.184655145838285, 16.3888705828215 48.18690726667305)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37d8,117638,"LINESTRING (16.383134593422007 48.19570654419404, 16.384501980566448 48.19523028856275)",Limes_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37d7,117639,"LINESTRING (16.370708732026934 48.20450369058114, 16.368506897353715 48.20510159878693)",roemStr,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37d6,117640,"LINESTRING (16.383761146085792 48.17744355927282, 16.3728370524428 48.18039036980033, 16.361290839191764 48.1837968592415)",Str_MANZ_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37d5,117641,"LINESTRING (16.332910216128393 48.15480603810383, 16.348372160049745 48.15130346520803, 16.37322496610126 48.14573262004411, 16.390393230754384 48.14115718120967, 16.403200349586196 48.13759774231656, 16.412383316934644 48.13557420104602, 16.41989305524476 48.13227382390038, 16.422254671664707 48.13096630844186, 16.428868032047077 48.130251057426314, 16.435379703534643 48.130226589151455, 16.441370614405336 48.130755905131245, 16.448925362348092 48.13119216529497)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37d4,117642,"LINESTRING (16.38569975377389 48.19481036958639, 16.38992850055717 48.193746924223746, 16.390363258176283 48.193637577960466, 16.392455457782624 48.19299536269127)",Limes_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37d3,117643,"LINESTRING (16.419666949378342 48.170878219863994, 16.42394286153458 48.16677281015466)",Str_MANZ,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37d2,117644,"LINESTRING (16.373529867752055 48.20984095005778, 16.373494524595657 48.20962280407526, 16.371709545203498 48.20815039795032, 16.37157738449679 48.206730076389576, 16.371182984634654 48.20539750952133, 16.37028995237793 48.203714381356654, 16.37003161823842 48.20321804065789)",roemStr,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37d1,117645,"LINESTRING (16.39955020694154 48.189199925949765, 16.399722214597627 48.18910409778368)",Limes,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37d0,117646,"LINESTRING (16.38708123414241 48.18816459289432, 16.388867636071172 48.18689274392017)",roemStr,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37cf,117647,"LINESTRING (16.38700756458385 48.18821051808326, 16.378111879612604 48.194823022544824, 16.373717163236208 48.19861055266612)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37ce,117648,"LINESTRING (16.39292813948792 48.19281807114507, 16.395176318793233 48.19187915883188, 16.399321095406872 48.18933124564343, 16.39955020694154 48.189199925949765)",Limes_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37cd,117649,"LINESTRING (16.359507854168477 48.21605075524249, 16.360292645425282 48.21566874138724, 16.361042678160867 48.21525341884018, 16.361742787268636 48.21467109859773, 16.362302038349966 48.21438230860033, 16.36314663573474 48.21364278137854, 16.364493188342944 48.21164061283346, 16.366603704807385 48.2080457086451, 16.368506897353715 48.20510159878693)",Limes,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37cc,117650,"LINESTRING (16.36694972941707 48.19219629382546, 16.36594737088365 48.18984429346466, 16.362186871694682 48.18512867797037, 16.361290839191764 48.1837968592415, 16.360028888052955 48.18197448252322, 16.35731216920376 48.17825221750328)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37cb,117651,"LINESTRING (16.416001548289156 48.1745356925499, 16.41578842353501 48.17474523980634)",Str_unb,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37ca,117617,"LINESTRING (16.372451591594768 48.212347920752066, 16.371098502906687 48.211357665740664)",roemStr,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37c9,117618,"LINESTRING (16.383097428621127 48.19572209970112, 16.383134593422007 48.19570654419404)",Limes,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37c8,117619,"LINESTRING (16.384501980566448 48.19523028856275, 16.384626628200767 48.195184190658786, 16.38569975377389 48.19481036958639)",Limes,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37c7,117620,"LINESTRING (16.37003161823842 48.20321804065789, 16.36989761512045 48.20293681688469, 16.367832047181672 48.19894823236245, 16.36719429437274 48.19622288016183, 16.36694972941707 48.19219629382546)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37c6,117621,"LINESTRING (16.41578842353501 48.17474523980634, 16.415205837949173 48.17529767608598)",Str_unb_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37c5,117622,"LINESTRING (16.368506897353715 48.20510159878693, 16.36989761512045 48.20293681688469, 16.371241443695613 48.20107063393031)",Limes_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37c4,117623,"LINESTRING (16.38910677797709 48.17622404409853, 16.383761146085792 48.17744355927282)",Str_MANZ,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37c3,117624,"LINESTRING (16.355141102343634 48.175980204817876, 16.35297022343985 48.17369624310683)",roemStr,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37c2,117625,"LINESTRING (16.38740475458185 48.20519188671221, 16.38741194754957 48.20491759013741)",Str_unb,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37c1,117626,"LINESTRING (16.39848703009534 48.188770081572564, 16.39214678639824 48.184655145838285)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37c0,117627,"LINESTRING (16.366619722123705 48.2080794739406, 16.36433319207423 48.20497708998379, 16.36206787140807 48.2010231390493, 16.36036281681525 48.19971737897177, 16.357516964342047 48.19862730707634, 16.35353066156738 48.19712148650674, 16.350664346750694 48.19485716211541, 16.347426141210025 48.191311651729144, 16.3428436343224 48.190334147829255, 16.336607620300228 48.18958176071909, 16.32357212853365 48.18981213010504, 16.30173224381257 48.191459171446525)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37bf,117628,"LINESTRING (16.36694972941707 48.19219629382546, 16.371298319976262 48.19316720659119, 16.378111879612604 48.194823022544824, 16.382924332744118 48.19573001238993)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37be,117629,"LINESTRING (16.35323873378429 48.233386932940086, 16.355479684729037 48.22916827987055, 16.356294531711743 48.22518409365966, 16.356086430579012 48.22189523729446, 16.356835448816533 48.21955535292279, 16.35761697184916 48.21794110038951, 16.358075206840283 48.21708541827205, 16.359507854168477 48.21605075524249)",Limes_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37bd,117630,"LINESTRING (16.31170048015496 48.22489786727455, 16.32408701307997 48.22071443400223, 16.329472796575903 48.21838279980913, 16.33515989397122 48.21671927250048, 16.339785256964394 48.21592114333931, 16.359153618493565 48.21438432214874, 16.36266919054997 48.21407708480683, 16.365398968538038 48.213636834148595, 16.367366660780977 48.21321904037016, 16.36848437995097 48.21294746901092)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37bc,117631,"LINESTRING (16.39891021605014 48.18906920059678, 16.39848703009534 48.188770081572564)",roemStr,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37bb,117632,"LINESTRING (16.368498620517478 48.212933192774365, 16.364883401156273 48.21122236738913)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37ba,117633,"LINESTRING (16.368541327261394 48.21290938470283, 16.369164597454375 48.21255936233993, 16.3754054976645 48.208672789047675)",roemStr,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37b9,117634,"LINESTRING (16.390168409037987 48.19409485919279, 16.391317810930687 48.1956815662926)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37b8,117635,"LINESTRING (16.392455457782624 48.19299536269127, 16.39292813948792 48.19281807114507)",Limes,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37b7,117636,"LINESTRING (16.415077971154147 48.17543101728453, 16.403890215681496 48.18545692202086, 16.40077665827054 48.188265500567496, 16.399722214597627 48.18910409778368)",Limes_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37b6,117652,"LINESTRING (16.35297022343985 48.17369624310683, 16.335236493978545 48.157043136727665, 16.332910216128393 48.15480603810383, 16.329738388955914 48.151755411862574, 16.31617460815105 48.13950012774495)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37b5,117653,"LINESTRING (16.39891021605014 48.18906920059678, 16.399293532547137 48.189305414189725)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37b4,117654,"LINESTRING (16.38992850055717 48.193746924223746, 16.390168409037987 48.19409485919279)",roemStr,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37b3,117655,"LINESTRING (16.3754054976645 48.208672789047675, 16.378332033011294 48.208092112084834, 16.381770334801004 48.20754828256597, 16.38411911800141 48.20683348920681, 16.387212171980313 48.205198285682634, 16.38992477218463 48.20317606361644, 16.391930390232393 48.201404790456294, 16.393308215180223 48.200441226141365, 16.394364295333542 48.19930103755898, 16.396466899552607 48.19593269654486, 16.39844756295504 48.193168637327204, 16.40104274965605 48.19062876769511, 16.402422097851975 48.189502736302515, 16.4020091878495 48.18716592434413)",roemStr_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37b2,117656,"LINESTRING (16.364780365551077 48.21118222941083, 16.364844761582585 48.211205164031654)",roemStr,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37b1,117657,"LINESTRING (16.371241443695613 48.20107063393031, 16.371737736380915 48.200489050879135)",Limes,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37b0,117658,"LINESTRING (16.416001548289156 48.1745356925499, 16.426016746507543 48.16451554676627, 16.430629975851684 48.16066898600029, 16.437820070947517 48.15645592880363, 16.4428795041226 48.154205110975276, 16.45348412354521 48.15124421283452, 16.465449466666016 48.14691023018081)",Limes_ungef,,,
ARCHAEOSTRASSENOGD.fid-5ce9cef7_1807f4d0057_-37af,117659,"LINESTRING (16.383097428621127 48.19572209970112, 16.381185707620176 48.19647315274717, 16.37834348748452 48.197307571866496, 16.37565458932572 48.19780510726437, 16.373717163236208 48.19861055266612, 16.372727419740897 48.19947274759719, 16.371737736380915 48.200489050879135)",Limes_ungef,,,
