FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,BETREIBER,SE_ANNO_CAD_DATA
AUFZUGOGD.1856,1856,POINT (16.457745041024758 48.22091217599767),HARDEGGASSE,U2,Aufzug fährt vom Aufnahmgebäude Ausgang Hardeggasse auf den Mittelbahnsteig,AR A02,,Wiener Linien,
AUFZUGOGD.1857,1857,POINT (16.430917494172835 48.20622431399511),DONAUMARINA,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Wehlistraße auf den U2-Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz),DM A02,,Wiener Linien,
AUFZUGOGD.1858,1858,POINT (16.431094226014327 48.20606046089369),DONAUMARINA,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Wehlistraße auf den U2-Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße),DM A03,,Wiener Linien,
AUFZUGOGD.1859,1859,POINT (16.382406398030486 48.15316842907658),ALAUDAGASSE,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Per Albin Hansson Siedlung.,AL A03,,Wiener Linien,
AUFZUGOGD.1860,1860,POINT (16.414373465585303 48.1749403295731),ENKPLATZ,U3,Aufzug fährt vom Bahnsteig an die Oberfläche Ausgang Gottschalkgasse.,EK A02,,Wiener Linien,
AUFZUGOGD.1861,1861,POINT (16.38533249426517 48.20600764039198),LANDSTRASSE,U3,Aufzug fährt vom vom Zwischengeschoß an die Oberfläche Ausgang Landstr.Hauptstr.,LA A02,,Wiener Linien,
AUFZUGOGD.1862,1862,POINT (16.508710768699675 48.22689761172103),SEESTADT,U2,Aufzug fährt vom U2 Bahnsteig zum Ausgang Seestadt Promenade.,EE A01,,Wiener Linien,
AUFZUGOGD.1863,1863,POINT (16.40017212574467 48.14165987518465),OBERLAA,U1,Aufzug fährt vom Übergang/Brücke Zugang zur U-Bahn und Therme an die Oberfläche Ausgang Biererlgasse (N+1) bzw. Laaer Berg Straße (N0).,LO A04,,Wiener Linien,
AUFZUGOGD.1864,1864,POINT (16.42427793680462 48.237863581506026),ALTE DONAU,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Arbeiterstrandbadstraße auf den U1-Mittelbahnsteig (Fahrtrichtung 1 nach Leopoldau),AD A01,,Wiener Linien,
AUFZUGOGD.1865,1865,POINT (16.359018679731616 48.18058497994361),,,"Aufzug fährt vom unteren Durchgang zu Bahnsteig der Linen 6, 18, 62 WLB Richtung Kaiserebersdorf (6), Schlachthausgasse (18), Kärntner Ring - Oper (62, WLB) und an die Oberfläche(Bushaltestelle).",MP A06,,Wiener Linien,
AUFZUGOGD.1866,1866,POINT (16.349394532144395 48.180527006244574),,,"Aufzug fährt vom Bahnsteig der Linien 6,18,62, WLB Fahrtrichtung Kaiserebersdorf (6), Schlachthausgasse (18), Kärnter Ring - Oper (62, WLB) an die Oberfläche.",EI A01,,Wiener Linien,
AUFZUGOGD.1867,1867,POINT (16.384562401280668 48.20573575688078),LANDSTRASSE,U3,"Aufzug fährt vom Zwischengeschoß auf den ÖBB Bahnsteig Richtung Floridsdorf, Gänserndorf.",LA A04,,Wiener Linien,
AUFZUGOGD.1868,1868,POINT (16.383026473734265 48.162824203783906),ALTES LANDGUT,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Favoritenstraße.,AT A04,,Wiener Linien,
AUFZUGOGD.1869,1869,POINT (16.398691926411807 48.14259820661057),OBERLAA,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Laaer Berg Straße.,LO A03,,Wiener Linien,
AUFZUGOGD.1870,1870,POINT (16.383030142831124 48.1628175112782),ALTES LANDGUT,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Favoritenstraße.,AT A05,,Wiener Linien,
AUFZUGOGD.1871,1871,POINT (16.374010647161665 48.186037131808575),SÜDTIROLER PLATZ - HAUPTBAHNHOF,U1,Aufzug fährt von Passage zu Bahnsteig der Linie 18 Richtung Burggasse,SL A04,,Wiener Linien,
AUFZUGOGD.1872,1872,POINT (16.37325868133525 48.185623350130804),SÜDTIROLER PLATZ - HAUPTBAHNHOF,U1,Aufzug fährt vom Bahnsteig der Linie 18 Richtung Schlachthausgasse zur Oberfläche Ausgang Laxenburgerstraße.,SL A08,,Wiener Linien,
AUFZUGOGD.1873,1873,POINT (16.368483301532816 48.18416887844824),,18,Aufzug fährt vom Bahnsteig Linie 18 Richtung Schlachthausgasse an die Oberfläche Ausgang Äußerer Wiedner Gürtel (Mazda).,BL A01,,Wiener Linien,
AUFZUGOGD.1874,1874,POINT (16.368222499626924 48.184376757849776),,18,Aufzug fährt vom Bahnsteig Linie 18 Richtung Burggasse an die Oberfläche Ausgang Innerer Wiedner Gürtel.,BL A02,,Wiener Linien,
AUFZUGOGD.1875,1875,POINT (16.38446416457075 48.205745950672174),LANDSTRASSE,U3,"Aufzug fährt vom Zwischengeschoß auf den ÖBB Bahnsteig Richtung Meidling, Flughafen.",LA A05,,Wiener Linien,
AUFZUGOGD.1876,1876,POINT (16.38699548852101 48.14543238771709),NEULAA,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Ada Christengasse bzw. Bahnlände.,LN A01,,Wiener Linien,
AUFZUGOGD.1877,1877,POINT (16.384978811476334 48.145920263187485),NEULAA,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Favoritenstraße/Bahnlände.,LN A02,,Wiener Linien,
AUFZUGOGD.1878,1878,POINT (16.400940573083517 48.14207347465781),OBERLAA,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Kurpark Oberlaa.,LO A01,,Wiener Linien,
AUFZUGOGD.1879,1879,POINT (16.400927507771744 48.14204968658701),OBERLAA,U1,Aufzug fährt vom U1 Bahnsteig an die Oberfläche Ausgang Kurpark Oberlaa.,LO A02,,Wiener Linien,
AUFZUGOGD.1880,1880,POINT (16.32163687206814 48.19752773965182),JOHNSTRASSE,U3,Aufzug fährt vom U3 Bahnsteig an die Oberfläche Ausgang Wasserwelt.,JO A02,,Wiener Linien,
AUFZUGOGD.1881,1881,POINT (16.308924223550253 48.20398407717203),KENDLERSTRASSE,U3,Aufzug fährt vom U3 Bahnsteig an die Oberfläche Ausgang Steinbruchstraße.,KR A03,,Wiener Linien,
AUFZUGOGD.1882,1882,POINT (16.443682153604385 48.250754035108244),KAGRANER PLATZ,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadtauwärtige Aufnahmegebäude Ausgang Kagraner Platz,KT A03,,Wiener Linien,
AUFZUGOGD.1883,1883,POINT (16.33108624250073 48.180425121935485),NIEDERHOFSTRASSE,U6,Aufzug fährt vom U6 Bahnsteig ins Zwischengeschoß (Telefon) und an die Oberfläche Ausgang Vivenotgasse.,NH A02,,Wiener Linien,
AUFZUGOGD.1884,1884,POINT (16.392922485288167 48.218740062054756),PRATERSTERN,U1,Aufzug fährt vom U2-Mittelbahnsteig in das Zwischengeschoss (Übergang zur U1) und in die Passage,PR A04,,Wiener Linien,
AUFZUGOGD.1885,1885,POINT (16.392884990212416 48.21874801167572),PRATERSTERN,U1,Aufzug fährt vom U2-Mittelbahnsteig in das Zwischengeschoss (Übergang zur U1) und in die Passage,PR A05,,Wiener Linien,
