FID,OBJECTID,SHAPE,BASIS_NAME,BASIS_TYP,BETRIEB,VERWALTUNG,BAUJAHR,DENKMAL,KUENSTLER,BETRIEB_VON,BETRIEB_BIS,AKTIV,SE_ANNO_CAD_DATA,BETREIBER
MONUMENTALBRUOGD.3119894,3119894,POINT (16.361823245017764 48.20103980447441),Tiertränkebrunnen,Monumentalbrunnen,Wiener Wasser,,1916,,STÖCKL Adolf,,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119895,3119895,POINT (16.36676123601875 48.19239211365368),Säulenbrunnen,Monumentalbrunnen,Wiener Wasser,,,,,,,,,Wiener Wasser
MONUMENTALBRUOGD.3119896,3119896,POINT (16.36952674799353 48.21329459673911),Hannakenbrunnen,Monumentalbrunnen,Wiener Wasser,,1937,,SCHMIDT Rudolf,,,07:00-24:00,,Wiener Wasser
MONUMENTALBRUOGD.3119897,3119897,POINT (16.374208187357013 48.20645496887839),Mosesbrunnen,Monumentalbrunnen,Wiener Wasser,,1798,,FISCHER Johann Martin,,,07:00-01:00,,Wiener Wasser
MONUMENTALBRUOGD.3119898,3119898,POINT (16.36095231693409 48.20185586168154),Gänsemädchenbrunnen,Monumentalbrunnen,Wiener Wasser,,1870,,WAGNER Anton Paul,,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119899,3119899,POINT (16.346677194276307 48.21243417589703),Wachsamkeitsbrunnen,Monumentalbrunnen,Wiener Wasser,,1937,,FISCHER Johann Martin,,,07:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119900,3119900,POINT (16.368224353819556 48.195187916018114),Mozartbrunnen (Zauberflötenbrunnen),Monumentalbrunnen,Wiener Wasser,,1905,,"SCHÖNTHAL Otto, WOLLEK Carl",,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119901,3119901,POINT (16.366774930541872 48.207609969475556),Die Macht zur See,Monumentalbrunnen,Wiener Wasser,,1895,,WEYR Rudolf,,,,,Wiener Wasser
MONUMENTALBRUOGD.3119902,3119902,POINT (16.368495130937095 48.20310287550498),Opernbrunnen,Monumentalbrunnen,Wiener Wasser,,1868,,"SICARD VON SICCARDSBURG August, VAN DER NÜLL Eduard, GASSER Hans",,,,,Wiener Wasser
MONUMENTALBRUOGD.3119903,3119903,POINT (16.270158831107832 48.151686122004115),Magna Mater Brunnen,Monumentalbrunnen,Wiener Wasser,,1930,,HANAK Anton,,,08:00-24:00,,Wiener Wasser
MONUMENTALBRUOGD.3119904,3119904,POINT (16.358119294170926 48.191505383266524),Margaretenbrunnen,Monumentalbrunnen,Wiener Wasser,,1836,,"SCHALLER Johann Nepomuk, STURM Wilhelm, HAUSER Alois",,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119905,3119905,POINT (16.344218357065856 48.23356626953828),Richard-Kralik-Brunnen,Monumentalbrunnen,Wiener Wasser,,1954,,ULLMANN Robert,,,07:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119906,3119906,POINT (16.304841648864297 48.222933282115996),Matteottibrunnen,Monumentalbrunnen,Wiener Wasser,,,,,,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119907,3119907,POINT (16.37049752709297 48.21017842354405),Tuchmacherbrunnen,Monumentalbrunnen,Wiener Wasser,,1928,,THIEDE Oskar,,,07:00-01:00,,Wiener Wasser
MONUMENTALBRUOGD.3119908,3119908,POINT (16.365685048048014 48.2116443586856),Austriabrunnen,Monumentalbrunnen,Wiener Wasser,,1846,,"SCHWANTHALER Ludwig, MILLER Ferdinand, PRANTNER F.",,,07:00-01:00,,Wiener Wasser
MONUMENTALBRUOGD.3119909,3119909,POINT (16.35790779440303 48.222182375226424),Strudlhofstiegenbrunnen,Monumentalbrunnen,Wiener Wasser,,1910,,JÄGER Theodor,,,08:00-22:00,,Wiener Wasser
MONUMENTALBRUOGD.3119910,3119910,POINT (16.36597347744822 48.2081650341249),Die Macht zu Lande,Monumentalbrunnen,Wiener Wasser,,1897,,HELLMER Edmund,,,,,Wiener Wasser
MONUMENTALBRUOGD.3119911,3119911,POINT (16.37035325838145 48.208363949875995),Leopoldsbrunnen,Monumentalbrunnen,Wiener Wasser,,1804,,FISCHER Johann Martin,,,07:00-01:00,,Wiener Wasser
MONUMENTALBRUOGD.3119912,3119912,POINT (16.351354142981503 48.20540863485152),Augustinbrunnen,Monumentalbrunnen,Wiener Wasser,,1952,,"SCHERPE Hans, HUMPLIK Josef",,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119913,3119913,POINT (16.331293475467902 48.21836704570496),Alszauberbrunnen,Monumentalbrunnen,Wiener Wasser,,1932,,"RATH Heribert, PHILIPP Carl",,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119914,3119914,POINT (16.34348935941984 48.2171970525342),Zimmermannbrunnen,Monumentalbrunnen,Wiener Wasser,,2009,,LOMBARDI Ines,,,07:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119945,3119945,POINT (16.34491695709158 48.22590418106312),Brunnen am Kutschkermarkt,Monumentalbrunnen,Wiener Wasser,,2007,,,,,,,Wiener Wasser
MONUMENTALBRUOGD.3119946,3119946,POINT (16.371106084675194 48.21203302776711),Andromedabrunnen,Monumentalbrunnen,Wiener Wasser,,1741,,DONNER Georg Raphael,,,07:00-01:00,,Wiener Wasser
