FID,SHAPE,NAME,BEZIRK,ADRESSE,WEITERE_INF,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MUSEUMOGD.71807,POINT (16.37834061875454 48.197678277742845),Belvedere - Spitzhof,3,"03., Rennweg 4",http://www.belvedere.at,71807,
MUSEUMOGD.71808,POINT (16.37141101898526 48.21163207735923),Bezirksmuseum Innere Stadt,1,"01., Wipplingerstraße 8",http://www.bezirksmuseum.at,71808,
MUSEUMOGD.71809,POINT (16.387932119466857 48.20132187780485),Bezirksmuseum Landstrasse,3,"03., Sechskrügelgasse 11",http://www.bezirksmuseum.at,71809,
MUSEUMOGD.71810,POINT (16.292552419324466 48.14510177730419),Bezirksmuseum Liesing,23,"23., Canavesegasse 24",http://www.bezirksmuseum.at,71810,
MUSEUMOGD.71811,POINT (16.41367891923974 48.17557677744233),Bezirksmuseum Simmering,11,"11., Enkplatz 2",http://www.bezirksmuseum.at,71811,
MUSEUMOGD.71812,POINT (16.338163219415865 48.18253537757399),Bezirksmuseum Meidling,12,"12., Längenfeldgasse 13-15",http://www.bezirksmuseum.at,71812,
MUSEUMOGD.71813,POINT (16.33966892988964 48.18275748723308),Brennpunkt° - Museum der Heizkultur Wien,12,"12., Malfattigasse 4",http://www.wien.gv.at/kultur/museen/brennpunkt,71813,
MUSEUMOGD.71814,POINT (16.36442081945956 48.212120577821885),Dialog im Dunkeln,1,"01., Freyung 6",http://www.imdunkeln.at,71814,
MUSEUMOGD.71815,POINT (16.388126968813445 48.16235086031755),FK Austria Wien Museum,10,"10., Horrplatz 1",http://www.fk-austria.at,71815,
MUSEUMOGD.71816,POINT (16.38388881860605 48.21154607751543),Für das Kind,3,"03., Uraniastraße 1 (Urania)",http://www.millisegal.at,71816,
MUSEUMOGD.71817,POINT (16.356711458490985 48.18382248638822),Kaffeemuseum Wien,5,"05., Vogelsanggasse 36",http://www.kaffeemuseum.at,71817,
MUSEUMOGD.71818,POINT (16.352931119576333 48.19773337748968),Foltermuseum,6,"06., Fritz-Grünbaum-Platz 1",http://www.foltermuseum.at/,71818,
MUSEUMOGD.71806,POINT (16.369706219195635 48.2013918774771),3D PicArt Museum,1,"01., Bösendorferstraße 2-4",https://www.3dpicart-museum.at/,71806,
MUSEUMOGD.71819,POINT (16.366314619571376 48.21171817780709),Bank Austria Kunstforum Wien,1,"01., Freyung 8",http://www.kunstforumwien.at/,71819,
MUSEUMOGD.71820,POINT (16.365690419094193 48.20940167757199),Globenmuseum,1,"01., Palais Mollard, Herrengasse 9",https://www.onb.ac.at/museen/globenmuseum/,71820,
MUSEUMOGD.71821,POINT (16.36472932261441 48.20558668419417),Ephesos-Museum,1,"01., Neue Burg, Heldenplatz",http://www.khm.at/,71821,
MUSEUMOGD.71822,POINT (16.353291938572355 48.2185149543024),Pathologisch-anatomische Sammlung im Narrenturm - NHM,9,"09., Spitalgasse 2, Narrenturm",http://www.nhm-wien.ac.at/narrenturm,71822,
MUSEUMOGD.71823,POINT (16.355267219422753 48.227488677424425),Schubert Geburtshaus,9,"09., Nußdorfer Straße 54",https://www.wienmuseum.at/de/standorte/schubert-geburtshaus,71823,
MUSEUMOGD.71824,POINT (16.36450291965011 48.212133377417494),Museum im Schottenstift,1,"01., Freyung 6",http://www.schotten.wien/,71824,
MUSEUMOGD.71825,POINT (16.44115131853892 48.1541838769958),Bestattungsmuseum am Wiener Zentralfriedhof,11,"11., Simmeringer Hauptstraße 234",http://www.bestattungsmuseum.at,71825,
MUSEUMOGD.71826,POINT (16.36472932261441 48.20558668419417),Sammlung alter Musikinstrumente,1,"01., Hofburg, Neue Burg, Heldenplatz (Weltmuseum)",http://www.khm.at,71826,
MUSEUMOGD.71827,POINT (16.363297023083263 48.20508079484903),Weltmuseum Wien,1,"01., Hofburg, Heldenplatz",http://www.weltmuseumwien.at,71827,
MUSEUMOGD.71828,POINT (16.35681201849769 48.18389477773609),Österreichisches Gesellschafts- und Wirtschaftsmuseum,5,"05., Vogelsanggasse 36",http://www.wirtschaftsmuseum.at,71828,
MUSEUMOGD.71829,POINT (16.37976761845225 48.216489077592044),Bezirksmuseum Leopoldstadt,2,"02., Karmelitiergasse 9",http://www.bezirksmuseum.at,71829,
MUSEUMOGD.71830,POINT (16.37268841961982 48.2106863771286),Römermuseum,1,"01., Hoher Markt 3",http://www.wienmuseum.at,71830,
MUSEUMOGD.71831,POINT (16.372647518735285 48.20479067740086),Literaturmuseum der Österreichischen Nationalbibliothek,1,"01., Johannesgasse 6",https://www.onb.ac.at/museen/literaturmuseum/,71831,
