FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,FLAECHE,OEFF_ZEITEN,SPIELEN_IM_PARK,WASSER_IM_PARK,HUNDE_IM_PARK,TELEFON,WEBLINK1,SE_ANNO_CAD_DATA
PARKINFOOGD.fid--47a0a51d_1807f4594fb_5096,1254797,POINT (16.361595151671906 48.206191956367384),Heldenplatz (Bundesgärten),1,904 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_5097,1254798,POINT (16.362989542042037 48.2236753186262),Jüdischer Friedhof Seegasse,9,5.843 m²,Mo-Fr 7:00-15:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_5098,1254799,POINT (16.347328028184204 48.216964223437046),Gerda-Matejka-Felden-Park (privat),9,0 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_5099,1254800,POINT (16.31884980154583 48.213067305819436),GA Wattgasse,16,1.328 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_509a,1254801,POINT (16.34486896691353 48.19942985202524),Marianne-Fritz-Park,7,359 m²,"Okt: 6:45-19:20, Nov-März: 6:45-18:20, Apr-Sep: 6:45-21:20",Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_509b,1254802,POINT (16.36274724979272 48.212004754535776),Rockgarten,1,119 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_509c,1254803,POINT (16.465878173898265 48.2330649174406),PA Am Krautgarten,22,1.954 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_509d,1254804,POINT (16.345446158316083 48.18008972775991),Paula-von-Mirtow-Park,12,3.234 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_509e,1254805,POINT (16.412700065982058 48.27748122624862),PA Berzeliusgasse,21,7.212 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_509f,1254806,POINT (16.41506240706212 48.29141966302155),PA Lüssenpromenade,21,7.551 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a0,1254807,POINT (16.41679586595578 48.29493042266183),Heisspark,21,5.283 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a1,1254808,POINT (16.439931100652032 48.267859262902924),PA Großfeldstraße,21,3.368 m²,Ballspielplatz 9:00-20:30,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a2,1254809,POINT (16.423359255818227 48.276677821881094),PA Ruthnergasse,21,21.719 m²,00:00-24:00,Nein,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
