FID,SHAPE,BEZIRK,KREUZUNG,ANL_TYPE,ANL_NR,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.293080,POINT (16.34461490048045 48.148403356515004),23,Sterngasse-ON 4,Verkehrslichtsignalanlage,V23090-01,293080,
AKUSTISCHEAMPELOGD.293082,POINT (16.430881714347244 48.2663770416287),21,Siemensstr.-Richard Neutra G.,Verkehrslichtsignalanlage,V21062-01,293082,
AKUSTISCHEAMPELOGD.293083,POINT (16.373903490267818 48.22351734600008),2,Ob.Augartenstr.-Rembrandtstr.,Verkehrslichtsignalanlage,V02043-01,293083,
AKUSTISCHEAMPELOGD.293084,POINT (16.36847477973721 48.17867740166159),10,Gudrunstr.-Alxingerg.,Verkehrslichtsignalanlage,V10069-01,293084,
AKUSTISCHEAMPELOGD.293085,POINT (16.307986712015015 48.17044624323621),12,Edelsinnstr.-Gaßmannstr._Graf Seile,Verkehrslichtsignalanlage,V12011-01,293085,
AKUSTISCHEAMPELOGD.293086,POINT (16.34072740470755 48.178097036282175),12,Längenfeldg.-Karl Löwe-G.,geregelter Fußgängerübergang,V12065-01,293086,
AKUSTISCHEAMPELOGD.293087,POINT (16.345078808638146 48.19929350295779),7,Lindeng.-Zieglerg.,Verkehrslichtsignalanlage,V07035-01,293087,
AKUSTISCHEAMPELOGD.293088,POINT (16.356453116599535 48.2044384309311),7,Burgg.-Breite G.,Verkehrslichtsignalanlage,V07025-01,293088,
AKUSTISCHEAMPELOGD.293089,POINT (16.379524607846193 48.236963861432095),20,Dresdner Str.-Hellwagstr.,Verkehrslichtsignalanlage,V20015-01,293089,
AKUSTISCHEAMPELOGD.293091,POINT (16.339556161767874 48.21109354042524),8,Lerchenf. Gürtel-Josefstädter Str.,Verkehrslichtsignalanlage,V08016-01,293091,
AKUSTISCHEAMPELOGD.293092,POINT (16.34816936738022 48.21740106883283),9,Lazarettg.-Pelikang.,Verkehrslichtsignalanlage,V09021-01,293092,
AKUSTISCHEAMPELOGD.293093,POINT (16.30172788441762 48.147303076437616),23,Erlaaer Str.-Josef Österreicher G.,geregelter Fußgängerübergang,V23077-01,293093,
AKUSTISCHEAMPELOGD.293095,POINT (16.36052087922039 48.225357553887484),9,Julius Tandler-Pl.-Althanstr._Alserb.Str.,Verkehrslichtsignalanlage,V09039-01,293095,
AKUSTISCHEAMPELOGD.293096,POINT (16.390453790268104 48.21058163451689),3,Löweng.-Untere Viaduktg.,geregelter Fußgängerübergang,V03059-01,293096,
AKUSTISCHEAMPELOGD.293097,POINT (16.308281187119054 48.201898514923485),14,Breitenseer Straße-Kendlerstr.,Verkehrslichtsignalanlage,V14017-01,293097,
AKUSTISCHEAMPELOGD.293098,POINT (16.39965689126919 48.13795623296054),10,Laaer-Berg-Strasse-Ober Laaer Str._Leopd.St,Verkehrslichtsignalanlage,V10023-01,293098,
AKUSTISCHEAMPELOGD.293099,POINT (16.35430627729445 48.1461336114605),23,Kolbeg.-J. Rindt Str.,Verkehrslichtsignalanlage,V23067-01,293099,
AKUSTISCHEAMPELOGD.293101,POINT (16.420733036286197 48.23425385341436),22,Wagramer Str.-Julius Payer-G._IAKW Kratochwjlestr.,Verkehrslichtsignalanlage,V22009-01,293101,
AKUSTISCHEAMPELOGD.293103,POINT (16.443633361591754 48.233749271010055),22,Donaustadtstr.-Erzherzog Karl-Str.,Verkehrslichtsignalanlage,V22002-01,293103,
AKUSTISCHEAMPELOGD.293105,POINT (16.3130326186105 48.162895256609204),12,Breitenfurter Str.-Sagederg.,Verkehrslichtsignalanlage,V12063-01,293105,
AKUSTISCHEAMPELOGD.293106,POINT (16.268985439148327 48.19955141372072),14,Linzer Str.-Deutschordenstr.,Verkehrslichtsignalanlage,V14022-01,293106,
AKUSTISCHEAMPELOGD.293107,POINT (16.366820895558412 48.21594358139042),1,Schottenring-Börseg.,Verkehrslichtsignalanlage,V01009-01,293107,
AKUSTISCHEAMPELOGD.293108,POINT (16.38348575413691 48.22510361565712),2,Taborstr.-Nordwestbahnstr.,Verkehrslichtsignalanlage,V02031-01,293108,
